"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","29553072.6256983","45139664.8044693","87374301.6759776","107486033.519553","155474860.335196","878770949.72067","1069217877.09497","1154357541.89944","1296759776.53631","1346145251.39665","1734860335.19553","1728324022.34637","1164469273.74302","282519553.072626","234692737.430168","191899441.340782","223798882.681564","159273743.01676","3434581005.58659","4416215839.35408","4717024446.35535","5206592178.77095","5456592178.77095","1951843575.41899","264525139.664804","5180167597.76536","1388882681.56425","278988734.078212","258945444.692737","332533356.424581","284010007.658349","134599535.763459","194096880.9558","130708110.217283","89770179.2824885","",
"","AFE","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","21636238290.9956","28650584083.9158","39872223720.0129","32885557705.8175","28198912502.7648","29290646336.302","27787668566.4876","26080346476.6699","27923631276.1792","35669826812.8278","37633382030.8242","37115087294.1003","39077083819.5619","37930550377.0425","39751886411.1861","41904664583.6914","44234129567.4063","49430578844.1376","52414959958.7597","53636287096.7043","48518314229.8909","49608330647.1981","57692717762.5199","55458414406.7236","59212454631.937","71197952549.8182","90521942423.9415","115181006474.854","138941125794.903","175615372193.253","214213206439.958","161081140634.865","210686613276.827","254502017818.966","244063582461.261","243925939512.939","232833683149.844","180778657865.692","171394387736.536","195436182763.871","216206189964.311","202854223951.403","180454892714.196","",
"Afganistán","AFG","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","493700000","705200000","690800000","707800000","728800000","787700000","628200000","497000000","538700000","453800000","252300000","","","","","","","","","","","","","","","","","","","563299197.53","408756401.27","435773347.55","460318410.71","475530985.177909","505792648.17849","641767413.462016","577859765.734545","614217572.055707","783962916.810291","875242667.370635","863834412.223754","776734541.770538","",
"","AFW","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","21430060511.2099","19050915448.6286","28503886377.5466","41298032885.8612","31229660328.9216","23558643374.268","21033434817.6177","23707591433.3283","25055975075.7482","14953116559.4228","18370800893.5093","17473384894.5571","19651802980.8028","28649920014.5731","26300942459.2945","25471524023.8217","22610418250.5998","22066974716.2991","17217962100.1759","20870218945.7699","19771065259.5865","16254386122.6696","29504186698.6651","39349419692.9229","36712710248.2545","34772242380.041","48169250965.3396","64644017739.2515","94274244586.5743","101824012281.646","115312239423.007","148772448206.457","109432476000.21","145947763213.703","181920681551.484","180600380563.716","182108482750","165708492344.276","108417381708.75","96445282080.7655","119286296601.368","142731069401.533","149740849108.801","118818279139.777","",
"Angola","AGO","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2301000000","1346000000","2322000000","2492000000","3014000000","3883900000","3449300000","3832800000","2900500000","3016600000","3722700000","5095000000","5006760000","3542870000","5156530000","7920710000","6534320000","8327889093","9508176643","13475002110","24109411611","31862236056","44396193769","63913941114","40827945315.81","50594853215.38","67310283732.3282","71093269879.5401","68246518070.6135","59169884894.9568","33181130225.6441","27588875075.4791","34613454927.6954","40757766796.592","34725561391.1333","20937437117.7636","",
"Albania","ALB","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","367200000","418000000","359900000","341000000","319100000","303500000","311300000","311200000","344600000","393700000","322100000","73000000","70000000","111600000","141300000","204900000","243700000","90900000","100670000","91700000","95200000","109500000","85180000","100716315.535505","149032362.106163","194117835.566333","223619399.423828","359838411.991624","546214691.484925","403524040.62297","739411255.845598","962502319.003516","1123281060.92358","1417739063.45629","1239878797.11331","855336790.675649","789221582.359358","901243616.770576","1163648667.07628","1014731694.61824","908550736.111012","",
"Andorra","AND","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129972471.326505","","",
"El mundo árabe","ARB","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","3918000000","5651000000","6401000000","7810000000","8021000000","9143000000","7623000000","7835000000","8100000000","8396000000","6852000000","6360000000","9134000000","9573000000","12354000000","11978000000","12397400000","13262600000","16026700000","21141832000","24034600000","26420900000","26408700000","23287800000","26337200000","26528000000","25634300000","29950400000","34588800000","40434150000","46617500000","56076562000","70159472000","55790984000","68305873000","83119709000","80083655000","75928228361.0699","68440435907","56809053493","57959933690.53","58661873551.7799","61801002638.2899","65156010193.56","54945406752.15","",
