"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6681564.24581006","6703910.61452514","6586592.17877095","6793296.08938548","6603351.95530726","7681564.24581006","7779329.60893855","7808379.88826816","8112849.16201117","8727932.96089385","9012290.5027933","9546927.37430168","10597206.7039106","10451955.3072626","11005027.9329609","","","","","","","","","","","","",
"","AFE","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","26628973794.6836","25121907592.5947","23641468026.4741","23640292713.4813","26035523655.7102","29297755549.2805","34970283803.882","36765418369.9959","35653405378.8515","34524414921.5211","36077149068.614","29874962371.7683","30265408719.6108","29603585241.3016","32361642944.2803","33589857909.1048","37099227223.1647","35262556323.1131","32283592094.1427","35718340978.5494","32454204208.1607","33815709803.5231","38779127471.5669","43215301106.8146","50088057205.8697","57707707428.005","72522207289.9805","86549850960.636","88710621316.4458","91965533482.6866","94941738269.6541","102747789664.258","107416342250.087","117344194950.473","117405097123.431","112202033098.127","123613141357.37","121417555837.046","126262215025.85","135040620922.721","",
"Afganistán","AFG","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1566430377.77431","1689670422.857","1553454438.92967","1931964163.238","1996295152.82618","2934600240.17318","2516435541.86834","3637624914.24071","4156046327.81437","4227586231.5897","4855568547.88774","4595528497.15267","4537457433.16701","3948215004.64758","4663260071.07864","4954704011.36768","3979454536.18354","4845364933.61459","5395268749.2362","",
"","AFW","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","33291953951.3771","31796572352.3044","25774410677.7972","24150924796.2627","24728074690.2839","24342268068.6263","27281945180.3897","28725973787.3714","26017726813.4932","29978417183.4449","29271484323.6417","29243193023.9213","24214684920.5719","21717481273.5759","27448148373.712","30700903288.0523","31490041217.0366","32956637476.9359","33144167698.0215","29791344470.7699","34457338638.9944","53477990022.4915","57561622965.5052","61304658331.0919","75185939702.8033","90805820795.9754","105320592296.728","132664155637.362","122749207025.529","134124100822.022","142090853060.739","153374969263.752","165197974779.01","169989656290.33","156635046795.409","145056972672.547","142254412244.268","155246486010.325","168903548200.258","180493051045.127","",
"Angola","AGO","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368504825.790174","528873555.808731","688508306.952096","840031172.522658","387035510.803741","517165479.806783","728859048.232153","892609948.954978","1104099935.26016","1472209717.57715","1870877459.72595","2719244833.46004","3421449079.01718","4254580694.73061","4655175861.79946","5179054574.41704","6534868426.82371","7772334516.27771","8896384125.08302","10996982491.7805","10599805694.1197","9941656304.30585","12233138291.6657","8724224373.8227","5955814198.72169","5541452356.62648","",
"Albania","ALB","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1165017048.02634","712413087.93456","732872453.029902","832541636.495293","853223432.031554","890950856.188222","957666990.964761","1233309073.68723","1475553858.65087","1517438117.23806","1575348051.13788","1831547564.4132","2168840425.96305","2022750507.74863","2141582328.47493","2349572529.28269","2312038171.93268","2499687704.64809","2644330678.80167","2252343371.04056","2354447509.91804","2476624685.13854","2793251547.37696","2832296168.98557","2846806902.89922","",
"Andorra","AND","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","5091752284.64746","5410710639.30322","6263956552.24512","6877021207.58432","8112821668.00161","9235114084.40055","11014102747.2678","12510520278.8347","14510157278.7311","16075149992.6808","17702388241.3911","19043985785.6393","21151202736.0918","23861886639.8266","26696309871.2836","27963355136.255","30653015034.5143","35112790132.2536","41063948758.5355","47802708787.6474","44845893950.5559","47516364906.1805","56854096763.8922","42606476848.9135","43249217718.5748","44247341887.0784","51378605353.2193","57112704164.1683","63601529775.5548","64759954044.6341","71680156874.1353","69147845598.9954","70582254589.0835","74261443481.372","75194719417.8357","79764274082.4311","85178595933.896","91956286393.5852","106673219483.404","121510357618.229","138834403977.247","151286053110.152","158956576990.102","130128239242.465","125958694712.2","130635844891.373","138823398762.15","134610804386.312","127282193891.076","117373498178.484","121474925641.654","129189384741.312","136746420636.887","",
"Emiratos Árabes Unidos","ARE","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","79519349.7084291","104727935.038324","120667127.814926","149566026.038438","170872972.193831","213896531.261801","270498501.770635","298556251.702533","312721329.338055","352220103.514029","375919368.019613","402070280.577499","415962952.873876","434486515.935712","494688095.886679","536638518.114955","669027512.939254","747752655.952057","823753745.573413","1085535276.49142","1174884227.73086","1318714246.79924","1579950967.03895","1650374404.35671","1970319945.54118","2360789652.82505","2312321307.01157","2419605173.58747","2397004765.14636","2461810755.61607","2520353982.30089","2430496936.69163","2518992511.91287","2609938733.83254","2628999319.26481","2212389380.53097","2356160653.50579","2393192648.0599","2511368277.73996","2578080326.75289","2653778080.32675","2770864533.69639","2971272974.8128","3034624016.33764","3117340904.70064","3296602435.8641","",
"Argentina","ARG","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","3657647056.60044","2942857060.50856","2420909129.36153","2570000119.25664","2871142801.33423","3043947529.01047","3617599855.69986","3815374911.49548","6280333430.12474","7410889160.41332","3452513642.24721","4171424983.67595","4591960171.9475","4358786867.94092","5399103642.79354","4889779676.74007","5094736992.14826","8090277995.49755","9002848956.56769","6601000166.75529","6750000170.51935","8653333202.14999","8993333404.72614","11330681729.6845","7369454003.07303","11483008746.543","12742527110.645","13706238946.0933","12161011111.1111","13084820500","13808477800","15269958100","15293015300","15702922200","12638962300","13300482400","12275651800","9974343869.19277","13177395614.839","13769497386.4639","15777249624.7271","16129176942.5676","21427791191.1784","26462268578.7967","17559926036.6081","30213817111.0998","37104716624.8996","31567304377.5225","33413631489.5722","35330279234.9601","30669352553.9863","34926920030.8981","33672221280.3468","23815684360.2064","23098337338.8085","23094142145.0235","",
