"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1355247939.77813","1547228300","1698349100","1906533700","2193982000","2336450000","2438230000","2700680000","2970530000","3007410000","3310480000","3334500000.00001","3232100000","3522400000.00001","3856000000","3315199999.99999","4150500000","3992300000.00002","4705100000.00001","4314000000","4027899999.99999","4122000000.00002","4329200000.00001","4588251000","4811520000.00001","5080300000.00002","5098709999.99998","5229949600.00001","","","","",
"","AFE","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609947867500","727510372000","849420078100","1030414200400","1142783046500","1176333342300","1233810567500","1235103461500","1302376236700","1341487780600","1492958477300","1561802328800","",
"","AFW","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","375.520427212542","857.350779050808","2454.18994341867","23108.7327201339","449327.947534788","16310541.6466879","834946520.630707","1935360292.11359","2749755572.99721","17201882010.1162","95394682682.2128","206986609841.896","594228080700","1200133641400","1759672995800","2871023202800","3713258699200","4423442923800","5614079386200","5036073453700","6958422609800","9590025881900.01","11230006316400","12239466901900","13453892400600","13241027555600","15686493400300","19016994383000","23647996403200","29879558000000","30909075668800","",
"Albania","ALB","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19574554158.8759","18800725093.6341","56436232177.9628","149493465634.798","216152246809.78","271465290290.313","341849720000","338707870000","396415160000","453988540000","516269720000","581549200000","625814820000","695923340000","755036990000","820345110000","898459590000","992472990000","1086130870000","1125750670000","1227260200000","1300960940000","1322883480000.01","1373333909999.99","1408096789999.99","1451306570000","1496392959999.99","1554431349999.99","1634739770000","1669585100000","1590353473599.99","",
"Andorra","AND","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401879000000","398012000000","406683000000","456461999999.999","545484999999.999","673917651099.999","833123000000","977947000000","1172550526300","940753000000","1063936000000","1288318000000","1376784000000","1434370000000","1482941000000","1321651000000","1318948000000","1426336223900","1555814747600","1539824142312.83","1316245540104.91","",
"Argentina","ARG","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65897799680","175307997200","222419992600","233509919200","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","296714255600","360780185800","431210511500","516340752299.999","692130989100","873287885999.997","1120920074400","1209256189200","1604656772200","2117072290500","2571462167200","3268457226500","4478043629500","5841938128900","8048080603900","10388970996600","14220366200500","20938962692500","26761508389400","",
"Armenia","ARM","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48459999.9999999","79599999.9999999","259180000","4213845100","186493212900","536313057200","679729031700","852023637800","985057348600","1016848605600","1063155371300","1211180074400","1409699284600","1678396229300","1987083906100","2337167329600","2781845184100","3319440668600","3779738214900","3271990327800","3631444282300","3912073330600","4436421190500","4835227015900.02","5045826278100","5248376995499.98","5185085269899.98","5760166166140.85","6113811776174.77","6629327860522.78","6085760793589.24","",
"Samoa Americana","ASM","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
