country,pbi_2017,cre_2017,exp_2017,interval,idh_2018
Afganistán,2058.4002210698,0.0647641950115201,783962916.810291,Muy bajo,0.511
Albania,12770.9642910053,3.89774060579526,901243616.770576,Muy bajo,0.795
Alemania,53071.4555699913,2.29720604740949,1419929740824.96,Medio,0.947
Angola,7310.89658895511,-3.40998337557743,34613454927.6954,Muy bajo,0.581
Antigua y Barbuda,19840.2840357027,2.16611404366698,37177841.7403293,Muy bajo,0.778
Arabia Saudita,47306.222319502,-2.71382744999026,221861700813.867,Bajo,0.854
Argelia,11737.4012353821,-0.750456691887635,34569616295.8512,Muy bajo,0.748
Argentina,23597.117752839,1.75764818265694,58661873551.7799,Muy bajo,0.845
Armenia,12115.1392902637,7.18452239016769,2386839092.41216,Muy bajo,0.776
Australia,48398.5497014956,0.587161102950546,231536493449.106,Medio,0.944
Austria,54172.9867888254,1.55072408627153,158250919996.696,Medio,0.922
Azerbaiyán,14121.4069355591,-0.778416065787681,15152059000,Muy bajo,0.756
Bahamas,35917.7570326171,0.606496417794375,570600436.5375,Bajo,0.814
Bélgica,50442.2705419624,1.22886623616918,300372889795.068,Medio,0.931
Belice,7193.63430990345,-0.184795030774069,457436755.062534,Muy bajo,0.716
Bolivia,8423.69755843668,2.69615523107971,8133837886.97646,Muy bajo,0.718
Bosnia y Herzegovina,13753.8374426837,4.24050974081906,5410504388.16655,Muy bajo,0.780
Brasil,14524.6135408174,0.508337980314494,218000493584.13,Muy bajo,0.765
Bulgaria,21469.9454411605,3.51553833482474,30498370000,Muy bajo,0.816
Burkina Faso,2044.38698676758,3.17736075265671,3250281394.88532,Muy bajo,0.452
Burundi,773.572858670972,-2.64677820864496,172637712.507699,Muy bajo,0.433
Cabo Verde,6643.17989182913,2.47516943136586,189532019.929686,Muy bajo,0.665
Camboya,3928.37393363069,5.37202162418909,11223642802.511,Muy bajo,0.594
Camerún,3665.11785084879,0.84572071249174,4603426012.22501,Muy bajo,0.563
Canadá,48317.1745835151,1.81127891680259,424110971708.691,Medio,0.929
Chile,24470.7036237008,-0.247251358761787,68823195509.8975,Bajo,0.851
