country,agricul_2017,inv_2017,pbi_num,pbi_2017
Afganistán,4954704011.36768,51533896.765,2058.4002210698,Muy bajo
Angola,12233138291.6657,-7397295409.18991,7310.89658895511,Muy bajo
Albania,2476624685.13854,1022757857.07377,12770.9642910053,Muy bajo
El mundo árabe,117373498178.484,30063429264.3078,14214.6130165904,Muy bajo
Emiratos Árabes Unidos,2971272974.8128,10354223000,67183.6053111678,Medio
Argentina,33672221280.3468,11516861462.2845,23597.117752839,Muy bajo
Armenia,1728457123.06439,250935110.239139,12115.1392902637,Muy bajo
Antigua y Barbuda,26329629.6296296,151271628.230867,19840.2840357027,Muy bajo
Australia,35858662040.8779,48198614234.959,48398.5497014956,Medio
Austria,5051098257.10589,13518864836.285,54172.9867888254,Medio
Azerbaiyán,2291482686.49779,2867487000,14121.4069355591,Muy bajo
Burundi,784513378.919232,316473.449369742,773.572858670972,Muy bajo
Bélgica,3343856282.35295,-37288840312.4529,50442.2705419624,Medio
Benin,3618576519.03844,200902719.348049,3044.51715620319,Muy bajo
Burkina Faso,2903999902.17972,2572690.32188177,2044.38698676758,Muy bajo
Bangladesh,33494889673.3107,1810395803.56746,4160.70332471531,Muy bajo
Bulgaria,2392194756.55431,2007290000,21469.9454411605,Muy bajo
Bahrein,103085106.382979,518882978.723404,47709.7780156397,Bajo
Bahamas,95900000,304587573.117333,35917.7570326171,Bajo
Bosnia y Herzegovina,1012764275.36025,509429047.915133,13753.8374426837,Muy bajo
Belarús,4140506132.58811,1276300000,18356.1007741722,Muy bajo
Belice,208153600,31831615.5013862,7193.63430990345,Muy bajo
Bermudas,19620000,-288109270.997092,81834.9558735543,Alto
Bolivia,4347002547.8078,712474137.775022,8423.69755843668,Muy bajo
Brasil,94933885411.9654,68885491315.23,14524.6135408174,Muy bajo
Brunei Darussalam,131765732.493301,467927550.316567,60994.5315563275,Medio
Bhután,368378522.640721,-16553759.9525493,11142.4746724654,Muy bajo
Botswana,296654231.980981,260575129.351448,15948.0320233624,Muy bajo
República Centroafricana,679527045.924546,6888751.401,912.803045335037,Muy bajo
Canadá,31171032151.0368,25357801000.497,48317.1745835151,Medio
Europa Central y del Báltico,44433903304.8272,28978937690.892,29901.2960330412,Bajo
Suiza,4389035823.39649,143235966548.555,69103.570264696,Medio
Chile,11026829014.8522,6127820993.23861,24470.7036237008,Bajo
China,918795407202.462,166083755721.649,14243.5326108491,Muy bajo
Cí´te d'Ivoire,9666324353.09883,975014998.795493,4830.75051522678,Muy bajo
Camerún,6025909974.00013,814458940.927625,3665.11785084879,Muy bajo
"Congo, República Democrática del",7490820896.75358,1047979482.55526,1059.81076228861,Muy bajo
"Congo, República del",823413882.771434,4416953734,4234.65988322969,Muy bajo
Colombia,19928321066.6495,13700880445.1998,14171.3205005648,Muy bajo
Comoras,343691259.0478,3919473.02500831,3032.26213308112,Muy bajo
Cabo Verde,119161543.640136,111711633.73814,6643.17989182913,Muy bajo
Costa Rica,2844118693.40133,2924906990.98245,20347.0347715873,Muy bajo
Estados pequeos del Caribe,3352385520.46952,2014802145.07721,15737.8041148569,Muy bajo
Curacao,5293173.18435754,172681564.24581,25475.4896636129,Bajo
Islas Caimán,21612144.4857794,2506466933.66629,69753.0897229101,Medio
Chipre,424978535.924085,14406568776.0426,38287.9691989983,Bajo
República Checa,4498524148.35518,11234740946.0941,38824.8879170919,Bajo
Alemania,31436767778.8236,109505815446.82,53071.4555699913,Medio
Djibouti,37763440.4487933,164929861.974668,4885.20503911992,Muy bajo
Dominica,69914814.8148148,22677207.693769,11304.0433278877,Muy bajo
Dinamarca,4333516836.06772,3607276299.51791,55356.680780178,Medio
República Dominicana,4274025158.62197,3597900000,16735.3644228294,Muy bajo
Argelia,19996440575.6355,1230243450.87889,11737.4012353821,Muy bajo
Asia oriental y el Pací­fico (excluido altos ingresos),1220137259938.75,240018521861.353,12903.4243245362,Muy bajo
inicial del dividendo demográfico,1188482652858.87,212172834524.363,8963.45945822964,Muy bajo
Asia oriental y el Pací­fico,1365637892346.37,559912230900.853,16277.5927965605,Muy bajo
Europa y Asia central (excluido altos ingresos),180963684945.463,72034083812.3904,21128.3620651163,Muy bajo
Europa y Asia central,449911589034.951,906680445233.798,34073.9375374271,Bajo
Ecuador,9730031000,629512412.259199,11617.9122190573,Muy bajo
"Egipto, República Árabe de",27074687500,7408700000,11014.4864791744,Muy bajo
Zona del Euro,199814422051.623,488704734848.98,45609.5086540805,Bajo
España,36600540436.4706,31565354023.7858,39528.9253872668,Bajo
Estonia,642471149.001178,1735775304.25104,33821.93290847,Bajo
Etiopí­a,27621585325.0467,4017159564.65434,2021.56290796009,Muy bajo
Unión Europea,250102881104.479,540001730780.338,42676.6286975399,Bajo
Frágiles y situaciones de conflicto afectados,252300308205.572,24307835988.1773,4322.72443062805,Muy bajo
Finlandia,5920659045.88236,17149122038.4331,47570.133583848,Bajo
Fiji,563811311.626107,387602565.305446,13429.3006222384,Muy bajo
Francia,40027993125.8824,35868111746.0378,44577.0645745394,Bajo
Gabón,786151771.089527,1314029330,15006.8440374987,Muy bajo
Reino Unido,16015390463.524,125358809934.121,46372.38660351,Bajo
Georgia,1013588364.21598,1920628293.25,13589.7073915159,Muy bajo
Ghana,11816521273.4168,3254990000,5115.90675022862,Muy bajo
