country,agricul_2017,inv_2017,pbi_2017,idh_2018
Afganistán,4954704011.36768,51533896.765,Muy bajo,0.511
Albania,2476624685.13854,1022757857.07377,Muy bajo,0.795
Alemania,31436767778.8236,109505815446.82,Medio,0.947
Angola,12233138291.6657,-7397295409.18991,Muy bajo,0.581
Antigua y Barbuda,26329629.6296296,151271628.230867,Muy bajo,0.778
Arabia Saudita,17410713866.6667,1418843613.80048,Bajo,0.854
Argelia,19996440575.6355,1230243450.87889,Muy bajo,0.748
Argentina,33672221280.3468,11516861462.2845,Muy bajo,0.845
Armenia,1728457123.06439,250935110.239139,Muy bajo,0.776
Australia,35858662040.8779,48198614234.959,Medio,0.944
Austria,5051098257.10589,13518864836.285,Medio,0.922
Azerbaiyán,2291482686.49779,2867487000,Muy bajo,0.756
Bahamas,95900000,304587573.117333,Bajo,0.814
Bélgica,3343856282.35295,-37288840312.4529,Medio,0.931
Belice,208153600,31831615.5013862,Muy bajo,0.716
Bolivia,4347002547.8078,712474137.775022,Muy bajo,0.718
Bosnia y Herzegovina,1012764275.36025,509429047.915133,Muy bajo,0.780
Brasil,94933885411.9654,68885491315.23,Muy bajo,0.765
Bulgaria,2392194756.55431,2007290000,Muy bajo,0.816
Burkina Faso,2903999902.17972,2572690.32188177,Muy bajo,0.452
Burundi,784513378.919232,316473.449369742,Muy bajo,0.433
Cabo Verde,119161543.640136,111711633.73814,Muy bajo,0.665
Camboya,5180913497.25225,2788084321.65816,Muy bajo,0.594
Camerún,6025909974.00013,814458940.927625,Muy bajo,0.563
Canadá,31171032151.0368,25357801000.497,Medio,0.929
Chad,4861500780.06505,363381636.4,Muy bajo,0.398
Chile,11026829014.8522,6127820993.23861,Bajo,0.851
China,918795407202.462,166083755721.649,Muy bajo,0.761
Chipre,424978535.924085,14406568776.0426,Bajo,0.887
Colombia,19928321066.6495,13700880445.1998,Muy bajo,0.767
Comoras,343691259.0478,3919473.02500831,Muy bajo,0.554
Costa Rica,2844118693.40133,2924906990.98245,Muy bajo,0.810
Croacia,1627734887.40881,460160214.941726,Bajo,0.851
Dinamarca,4333516836.06772,3607276299.51791,Medio,0.940
Dominica,69914814.8148148,22677207.693769,Muy bajo,0.742
Ecuador,9730031000,629512412.259199,Muy bajo,0.759
El Salvador,1347130000,503801415.183001,Muy bajo,0.673
Emiratos Árabes Unidos,2971272974.8128,10354223000,Medio,0.890
Eslovenia,893905418.129413,1196228604.69281,Bajo,0.917
España,36600540436.4706,31565354023.7858,Bajo,0.904
Estados Unidos,185620403000,3.80823e+11,Medio,0.926
Estonia,642471149.001178,1735775304.25104,Bajo,0.892
Filipinas,33449056032.4587,10256442398.8834,Muy bajo,0.718
Finlandia,5920659045.88236,17149122038.4331,Bajo,0.938
Francia,40027993125.8824,35868111746.0378,Bajo,0.901
Gabón,786151771.089527,1314029330,Muy bajo,0.703
Gambia,316059561.585877,64338516.0351372,Muy bajo,0.496
Georgia,1013588364.21598,1920628293.25,Muy bajo,0.812
Ghana,11816521273.4168,3254990000,Muy bajo,0.611
Granada,60466851.8518519,155662145.333704,Muy bajo,0.779
Grecia,7706777619.73884,3439131879.75518,Bajo,0.888
Guatemala,6947790252.99745,998344470,Muy bajo,0.663
Guinea,2119496689.16239,577590000,Muy bajo,0.477
Guinea Ecuatorial,282507695.151088,304827249.5,Muy bajo,0.592
Guyana,1080585956.41646,327343651.21783,Muy bajo,0.682
Honduras,2910931909.43081,949955941.517779,Muy bajo,0.634
India,439039677566.795,39966091358.7384,Muy bajo,0.645
Indonesia,133621208764.874,20510310832.4469,Muy bajo,0.718
Irlanda,3956064402.31765,58300808407.7812,Alto,0.955
Islandia,935456901.558007,-6999892980.93709,Medio,0.949
Islas Marshall,32633800,5835497.47968519,Muy bajo,0.704
Israel,4289269826.11174,16892500000,Bajo,0.919
Italia,38700052902.9412,11138429977.1854,Bajo,0.892
Jamaica,982100504.436777,888835228.478601,Muy bajo,0.734
Japón,55641568300.4069,18802251208.1069,Bajo,0.919
Jordania,1972112676.05634,2029718309.85915,Muy bajo,0.729
Kirguistán,963989852.860672,-107212800,Muy bajo,0.697
Kiribati,57140055.0880737,784797.254894666,Muy bajo,0.630
Kuwait,633825255.522585,113012065.007347,Medio,0.806
Letonia,1082904467.99647,1153575224.71464,Bajo,0.866
Liberia,1218707500,247842983.01405,Muy bajo,0.480
Lituania,1675143213.80471,1383731106.4056,Bajo,0.882
Luxemburgo,154142737.167059,-6815331955,Muy alto,0.916
Macedonia del Norte,890232413.496629,380738977.544776,Muy bajo,0.774
Madagascar,3234803140.22932,464856589.648809,Muy bajo,0.528
Malasia,27438145288.8103,9368469822.66146,Bajo,0.810
Maldivas,254422668.486385,457808313.566538,Muy bajo,0.740
Malta,90104151.0903243,3890244436.94056,Bajo,0.895
Marruecos,13559533635.9884,2680109856.21237,Muy bajo,0.686
Mauricio,410482172.997616,479995890.3,Muy bajo,0.804
Mauritania,1544664804.46927,588217194.758539,Muy bajo,0.546
México,39183705967.8229,33170534975,Muy bajo,0.779
Mongolia,1278648794.93914,1494350363.46922,Muy bajo,0.737
Montenegro,332043047.103899,560665419.031984,Muy bajo,0.829
Mozambique,3310545313.85892,2319071971.47682,Muy bajo,0.456
Namibia,989852100.714017,280476974.998847,Muy bajo,0.646
Nepal,6866135824.5258,196265098.563575,Muy bajo,0.602
Nicaragua,2067391666.87479,1035400000,Muy bajo,0.660
Nigeria,78330256171.161,2412974916.23264,Muy bajo,0.539
Noruega,7874108402.1761,5900604723.78859,Medio,0.957
Omán,1604681404.42133,2917295188.55657,Bajo,0.813
Pakistán,69824686104.6445,2.496e+09,Muy bajo,0.557
Panamá,1483351007.6731,4082062468.94,Bajo,0.815
Paraguay,4105127754.20816,744619762.899364,Muy bajo,0.728
Perú,14305781321.8831,6860492819.49823,Muy bajo,0.777
Polonia,15122906358.3203,1.1762e+10,Bajo,0.880
Portugal,4639370136.80471,10683844360.5991,Bajo,0.864
Reino Unido,16015390463.524,125358809934.121,Bajo,0.932
República Centroafricana,679527045.924546,6888751.401,Muy bajo,0.397
República Dominicana,4274025158.62197,3597900000,Muy bajo,0.756
Samoa,87523487.1413831,9215371.78697386,Muy bajo,0.715
San Vicente y las Granadinas,54814814.8148148,163275187.56616,Muy bajo,0.738
Senegal,3145712432.14795,588292997.958708,Muy bajo,0.512
Serbia,2656996313.06556,2894615965.23761,Muy bajo,0.806
Seychelles,28670657.4541511,124465535.7046,Bajo,0.796
Sierra Leona,2254350171.97395,413724476.112752,Muy bajo,0.452
Singapur,105655731.769136,100786356970.871,Alto,0.938
Sri Lanka,6848270607.24294,1372723043.13402,Muy bajo,0.782
Sudáfrica,9512565346.39335,2058579911.05235,Muy bajo,0.709
Sudán,8764735157.14286,1065298481.41867,Muy bajo,0.510
Suecia,7809812476.96453,28405674155.3444,Medio,0.945
Suiza,4389035823.39649,143235966548.555,Medio,0.955
Tailandia,38363249046.8418,8285169819.69135,Muy bajo,0.777
Tayikistán,1528638431.75784,185827080.700795,Muy bajo,0.668
Togo,1319936547.70538,88558699.5022234,Muy bajo,0.515
Tonga,77368559.1495137,-5613753.35828908,Muy bajo,0.725
Trinidad y Tobago,277513090.93591,-470882577.73977,Bajo,0.796
Túnez,3788881013.62553,810936482.841998,Muy bajo,0.740
Turkmenistán,4216571428.57143,2085944135,Muy bajo,0.715
Ucrania,11408187512.6896,3.68e+09,Muy bajo,0.779
Uganda,7212295524.12497,802704141.008568,Muy bajo,0.544
Uruguay,3433518879.63622,2686509353.42749,Muy bajo,0.817
Uzbekistán,17791555799.2584,1797341435.65381,Muy bajo,0.720
Vanuatu,188071318.335609,38222690.1627779,Muy bajo,0.609
Zambia,1041223882.32204,1107519804.84533,Muy bajo,0.584
