country,pbi_2017,cre_2017,agri_2017,interval,idh_2018
Afganistán,2058.4002210698,0.0647641950115201,4954704011.36768,Muy bajo,0.511
Albania,12770.9642910053,3.89774060579526,2476624685.13854,Muy bajo,0.795
Alemania,53071.4555699913,2.29720604740949,31436767778.8236,Medio,0.947
Angola,7310.89658895511,-3.40998337557743,12233138291.6657,Muy bajo,0.581
Antigua y Barbuda,19840.2840357027,2.16611404366698,26329629.6296296,Muy bajo,0.778
Arabia Saudita,47306.222319502,-2.71382744999026,17410713866.6667,Bajo,0.854
Argelia,11737.4012353821,-0.750456691887635,19996440575.6355,Muy bajo,0.748
Argentina,23597.117752839,1.75764818265694,33672221280.3468,Muy bajo,0.845
Armenia,12115.1392902637,7.18452239016769,1728457123.06439,Muy bajo,0.776
Australia,48398.5497014956,0.587161102950546,35858662040.8779,Medio,0.944
Austria,54172.9867888254,1.55072408627153,5051098257.10589,Medio,0.922
Azerbaiyán,14121.4069355591,-0.778416065787681,2291482686.49779,Muy bajo,0.756
Bahamas,35917.7570326171,0.606496417794375,95900000,Bajo,0.814
Bélgica,50442.2705419624,1.22886623616918,3343856282.35295,Medio,0.931
Belice,7193.63430990345,-0.184795030774069,208153600,Muy bajo,0.716
Bolivia,8423.69755843668,2.69615523107971,4347002547.8078,Muy bajo,0.718
Bosnia y Herzegovina,13753.8374426837,4.24050974081906,1012764275.36025,Muy bajo,0.780
Brasil,14524.6135408174,0.508337980314494,94933885411.9654,Muy bajo,0.765
Bulgaria,21469.9454411605,3.51553833482474,2392194756.55431,Muy bajo,0.816
Burkina Faso,2044.38698676758,3.17736075265671,2903999902.17972,Muy bajo,0.452
Burundi,773.572858670972,-2.64677820864496,784513378.919232,Muy bajo,0.433
Cabo Verde,6643.17989182913,2.47516943136586,119161543.640136,Muy bajo,0.665
Camboya,3928.37393363069,5.37202162418909,5180913497.25225,Muy bajo,0.594
Camerún,3665.11785084879,0.84572071249174,6025909974.00013,Muy bajo,0.563
Canadá,48317.1745835151,1.81127891680259,31171032151.0368,Medio,0.929
Chad,1587.03232784726,-5.92875313174368,4861500780.06505,Muy bajo,0.398
Chile,24470.7036237008,-0.247251358761787,11026829014.8522,Bajo,0.851
China,14243.5326108491,6.30186310052261,918795407202.462,Muy bajo,0.761
Chipre,38287.9691989983,4.87248695745734,424978535.924085,Bajo,0.887
Colombia,14171.3205005648,-0.163409332080448,19928321066.6495,Muy bajo,0.767
Comoras,3032.26213308112,1.48233932576038,343691259.0478,Muy bajo,0.554
Costa Rica,20347.0347715873,3.09256633767137,2844118693.40133,Muy bajo,0.810
Croacia,27154.0846858541,4.6631756701545,1627734887.40881,Bajo,0.851
Dinamarca,55356.680780178,2.16235511316152,4333516836.06772,Medio,0.940
Dominica,11304.0433278877,-6.99897579452575,69914814.8148148,Muy bajo,0.742
Ecuador,11617.9122190573,0.573913173998349,9730031000,Muy bajo,0.759
El Salvador,8454.05216690571,1.73469434223202,1347130000,Muy bajo,0.673
Emiratos Árabes Unidos,67183.6053111678,1.01143077389321,2971272974.8128,Medio,0.890
Eslovenia,36507.5530416531,4.74710618321161,893905418.129413,Bajo,0.917
España,39528.9253872668,2.73236058269681,36600540436.4706,Bajo,0.904
Estados Unidos,60109.6557260477,1.68732140604138,185620403000,Medio,0.926
Estonia,33821.93290847,5.66403908236126,642471149.001178,Bajo,0.892
Filipinas,8120.86879330973,5.3966531060456,33449056032.4587,Muy bajo,0.718
Finlandia,47570.133583848,2.95053137282473,5920659045.88236,Bajo,0.938
Francia,44577.0645745394,1.99499844733441,40027993125.8824,Bajo,0.901
Gabón,15006.8440374987,-2.29754116776253,786151771.089527,Muy bajo,0.703
Gambia,2072.64683284207,1.75610362012779,316059561.585877,Muy bajo,0.496
Georgia,13589.7073915159,4.82856985509574,1013588364.21598,Muy bajo,0.812
Ghana,5115.90675022862,5.75434851659537,11816521273.4168,Muy bajo,0.611
Granada,16217.4998498411,3.86313919714306,60466851.8518519,Muy bajo,0.779
Grecia,28604.8609402657,1.29229029026882,7706777619.73884,Bajo,0.888
Guatemala,8322.21680991504,1.41564884120322,6947790252.99745,Muy bajo,0.663
Guinea,2417.80379491483,7.29211181459284,2119496689.16239,Muy bajo,0.477
Guinea Ecuatorial,22550.958161123,-9.16772469815358,282507695.151088,Muy bajo,0.592
Guyana,12005.4051046745,3.21852430987543,1080585956.41646,Muy bajo,0.682
Honduras,5561.99454219124,3.08361521753868,2910931909.43081,Muy bajo,0.634
India,6182.92210857444,5.66578114880545,439039677566.795,Muy bajo,0.645
Indonesia,10935.6317158256,3.84119726442658,133621208764.874,Muy bajo,0.718
Irlanda,77749.2019569363,7.76044197686218,3956064402.31765,Alto,0.955
Islandia,55638.4920591796,1.7794101347671,935456901.558007,Medio,0.949
Islas Marshall,3711.89600373591,2.66363108243138,32633800,Muy bajo,0.704
Israel,39121.2958325461,2.37294959239584,4289269826.11174,Bajo,0.919
Italia,41581.120790548,1.82033385192226,38700052902.9412,Bajo,0.892
Jamaica,9600.10474580389,0.492076589718863,982100504.436777,Muy bajo,0.734
Japón,41505.0824777862,1.84270905806171,55641568300.4069,Bajo,0.919
Jordania,10003.5749827297,-0.328485920725498,1972112676.05634,Muy bajo,0.729
Kirguistán,5046.69153549095,2.73409189148251,963989852.860672,Muy bajo,0.697
Kiribati,2235.70735994823,-0.545552671301749,57140055.0880737,Muy bajo,0.630
Kuwait,50855.5529145289,-7.04349989138754,633825255.522585,Medio,0.806
Letonia,28673.5633962664,4.2327345755706,1082904467.99647,Bajo,0.866
Liberia,1564.19768164013,-0.060039735974641,1218707500,Muy bajo,0.480
Lituania,33761.871239796,5.75104655735379,1675143213.80471,Bajo,0.882
Luxemburgo,114985.842235989,-1.11611296239622,154142737.167059,Muy alto,0.916
Macedonia del Norte,15706.4441718656,0.98373642544189,890232413.496629,Muy bajo,0.774
Madagascar,1584.4245185911,1.185080524299,3234803140.22932,Muy bajo,0.528
Malasia,26661.5074160333,4.38394395688798,27438145288.8103,Bajo,0.810
Maldivas,18057.9109233313,2.69752962995781,254422668.486385,Muy bajo,0.740
Malta,42644.0804444448,5.19857739445129,90104151.0903243,Bajo,0.895
Marruecos,7312.05677903856,2.90184502007737,13559533635.9884,Muy bajo,0.686
Mauricio,21415.1161096211,3.72056764157287,410482172.997616,Muy bajo,0.804
Mauritania,5108.54913220438,3.31636794202008,1544664804.46927,Muy bajo,0.546
México,19721.2609759241,0.931456541585035,39183705967.8229,Muy bajo,0.779
Mongolia,11366.3039371032,3.68853378857119,1278648794.93914,Muy bajo,0.737
Montenegro,19682.2651956681,4.70468752737763,332043047.103899,Muy bajo,0.829
Mozambique,1283.65986980986,0.775346479703657,3310545313.85892,Muy bajo,0.456
Namibia,10171.4214953612,-2.86362140425037,989852100.714017,Muy bajo,0.646
Nepal,3565.19780740052,7.5210298922342,6866135824.5258,Muy bajo,0.602
Nicaragua,6004.01408757341,3.30721604895172,2067391666.87479,Muy bajo,0.660
Nigeria,5190.35612668836,-1.78881762090789,78330256171.161,Muy bajo,0.539
Noruega,64050.7561654659,1.50018092554136,7874108402.1761,Medio,0.957
Omán,33308.4843146012,-3.70965167080264,1604681404.42133,Bajo,0.813
Pakistán,4571.20507840804,3.38392800367239,69824686104.6445,Muy bajo,0.557
Panamá,30446.8495664097,3.79946361861217,1483351007.6731,Bajo,0.815
Paraguay,12590.548443655,3.44894824730363,4105127754.20816,Muy bajo,0.728
Perú,12506.5293750586,0.829126308957157,14305781321.8831,Muy bajo,0.777
Polonia,30064.5034841771,4.81757385257684,15122906358.3203,Bajo,0.880
Portugal,33044.7167387479,3.75909438887767,4639370136.80471,Bajo,0.864
Reino Unido,46372.38660351,1.44292936752505,16015390463.524,Bajo,0.932
República Centroafricana,912.803045335037,3.20045251851401,679527045.924546,Muy bajo,0.397
República Dominicana,16735.3644228294,3.5180711549784,4274025158.62197,Muy bajo,0.756
Samoa,6489.77678623675,0.619350401445942,87523487.1413831,Muy bajo,0.715
San Vicente y las Granadinas,12245.1263378297,0.669624012432067,54814814.8148148,Muy bajo,0.738
Senegal,3203.90636811769,4.4411878629361,3145712432.14795,Muy bajo,0.512
Serbia,16611.023740948,2.64598586238259,2656996313.06556,Muy bajo,0.806
Seychelles,27309.7621128652,3.46414233289319,28670657.4541511,Bajo,0.796
Sierra Leona,1633.73073779599,1.97222909064014,2254350171.97395,Muy bajo,0.452
Singapur,95350.4356748021,4.42782016185458,105655731.769136,Alto,0.938
Sri Lanka,12584.1047924776,2.41409866202615,6848270607.24294,Muy bajo,0.782
Sudáfrica,13860.2701664709,-0.265300653069517,9512565346.39335,Muy bajo,0.709
Sudán,4598.85002570756,-1.67431434434694,8764735157.14286,Muy bajo,0.510
Suecia,51947.9542478244,1.19514757132167,7809812476.96453,Medio,0.945
Suiza,69103.570264696,0.641284065674213,4389035823.39649,Medio,0.955
Tailandia,17422.9523512059,3.81867425078065,38363249046.8418,Muy bajo,0.777
Tayikistán,3252.93265536068,4.48656343288916,1528638431.75784,Muy bajo,0.668
Togo,2012.24069260973,1.79243016113288,1319936547.70538,Muy bajo,0.515
Tonga,6467.12427796495,2.452312649135,77368559.1495137,Muy bajo,0.725
Trinidad y Tobago,26342.6166624768,-3.44273320815914,277513090.93591,Bajo,0.796
Túnez,11234.4897248596,1.08617526745563,3788881013.62553,Muy bajo,0.740
Turkmenistán,14205.0265119624,4.73730275911537,4216571428.57143,Muy bajo,0.715
Ucrania,11860.5609298492,2.810645078612,11408187512.6896,Muy bajo,0.779
Uganda,2074.65243576542,-0.670054581381933,7212295524.12497,Muy bajo,0.544
Uruguay,23009.8742286911,1.25792913208215,3433518879.63622,Muy bajo,0.817
Uzbekistán,6840.70986001705,2.6524847322477,17791555799.2584,Muy bajo,0.720
Vanuatu,3081.83519771335,3.64448510922514,188071318.335609,Muy bajo,0.609
Zambia,3485.02178024575,0.494085597516801,1041223882.32204,Muy bajo,0.584
